id,NEIGHBORS
40027140080,"40027140090,40027140010,40027140054"
40027140081,"40027140030,40027140026,40027140032,40027140002,40027140082"
40027140082,"40027140030,40027140081,40027140028,40027140067,40027140032"
40027140083,"40027140030,40027140029,40027140045,40027140067"
40027140086,"40027140009,40027140061,40027140005,40027140020"
40027140087,"40027140063,40109550250,40027140037,40027140017,40027140078,40109550253,40027140036,40109550252,40027140072,40109550251"
40027140088,"40087440014,40027140009,40027140040,40027140074,40027140007,40087440017,40027140020"
40027140089,"40027140043,40027140009,40027140044,40027140048,40027140073"
40027140090,"40109550233,40027140058,40027140037,40027140010,40027140080"
40027140091,"40027140001,40027140077,40027140044,40027140024,40027140073"
40027140092,"40027140056,40027140059,40027140035,40027140039"
40027140093,"40027140056,40027140042,40027140035"
40027140094,"40027140030,40027140025,40027140049,40027140045,40027140012"
40027140095,"40027140029,40027140045,40027140038"
40029150002,"40029150010,40123620061,40029150007,40029150003,40029150009,40123620065"
40029150003,"40063320034,40029150004,40123620061,40123620064,40029150007,40063320033,40029150002"
40029150004,"40029150005,40063320032,40029150007,40063320033,40029150003,40121610023,40005030010"
40029150005,"40029150011,40005030001,40029150004,40029150007,40005030013,40005030017,40029150006"
40029150006,"40029150011,40029150005,40029150010,40029150007"
40029150007,"40029150005,40029150004,40029150010,40029150002,40029150003,40029150006"
40029150009,"40069350007,40069350010,40029150010,40123620054,40005030006,40029150002,40123620065"
40029150010,"40029150011,40029150006,40029150007,40029150002,40005030006,40029150009"
40029150011,"40029150005,40029150010,40005030002,40005030001,40005030006,40029150006"
40031160001,"40031160042,40031160050,40031160002,40031160051"
40031160002,"40031160008,40031160051,40031160001,40031160007,40031160003"
40031160003,"40031160008,40031160002,40031160051,40031160015"
40031160007,"40031160008,40031160050,40031160009,40031160002"
40031160008,"40031160027,40031160002,40031160017,40031160011,40031160009,40031160007,40031160003"
40031160009,"40031160008,40031160042,40031160011,40031160050,40031160007,40031160045"
40031160011,"40031160008,40031160027,40031160025,40031160009,40031160045,40031160029"
40031160013,"40031160019,40031160014,40031160032,40031160015"
40031160014,"40031160030,40031160013,40031160051"
40031160015,"40031160017,40031160003,40031160013,40031160051"
40031160017,"40031160008,40031160020,40031160027,40031160015,40031160019"
40031160019,"40031160020,40031160017,40031160032,40031160013,40031160021"
40031160020,"40031160017,40031160019,40031160027,40031160021"
40031160021,"40031160026,40031160020,40031160019,40031160032"
40031160025,"40031160026,40031160027,40031160011,40031160029"
40031160026,"40031160021,40031160027,40031160025,40031160043,40031160032,40031160029"
40031160027,"40031160008,40031160020,40031160025,40031160011,40031160017,40031160026"
40031160029,"40031160025,40031160048,40031160011,40031160026,40031160043,40031160045"
40031160030,"40031160031,40031160014,40031160038,40031160032"
40031160031,"40031160049,40031160033,40031160038,40031160032,40031160034,40031160030"
40031160032,"40031160031,40031160021,40031160026,40031160033,40031160019,40031160013,40031160030"
40031160033,"40031160031,40031160043,40031160032,40031160034"
40031160034,"40031160049,40031160033,40031160043,40031160031"
40031160035,"40075380010,40031160036,40075380014,40075380016,40075380006,40031160051,40031160042,40031160041,40015080715,40075380022,40031160037"
40031160036,"40031160051,40031160035"
40031160037,"40015080511,40031160038,40031160051,40031160035"
40031160038,"40031160031,40031160039,40031160049,40015080511,40031160051,40031160053,40031160030,40031160037,40031160040"
40031160039,"40015080511,40031160038,40015080510,40031160040"
40031160040,"40137690051,40031160039,40015080509,40031160049,40031160038,40051260023,40051260036"
40031160041,"40031160042,40141710012,40075380014,40141710006,40031160045,40031160035"
40031160042,"40031160001,40031160041,40031160050,40031160009,40031160045,40031160035"
40031160043,"40031160048,40031160029,40031160026,40031160033,40031160034,40031160049"
40031160045,"40031160046,40031160048,40031160011,40031160009,40031160029,40031160042,40031160041,40141710006"
40031160046,"40141710006,40033170003,40031160048,40031160045"
40031160048,"40031160046,40031160049,40031160043,40033170003,40031160045,40031160029"
40031160049,"40137690051,40031160031,40031160048,40031160043,40137690063,40033170001,40031160038,40031160034,40033170003,40031160040"
40031160050,"40031160042,40031160001,40031160009,40031160007"
40031160051,"40031160036,40031160002,40031160003,40031160035,40031160014,40031160001,40031160053,40031160015,40031160038,40031160037"
40031160053,"40031160038,40031160051"
40033170001,"40031160049,40137690063,40137690062,40033170003"
40033170003,"40033170009,40031160046,40141710007,40031160048,40137690062,40033170008,40031160049,40033170004,40141710006,40033170001,40033170007"
40033170004,"40033170009,40033170007,40033170003"
40033170005,"40137690062,40033170008,40067340003,40033170007,40033170011"
40033170007,"40033170009,40137690062,40033170008,40033170004,40033170003,40033170005"
40033170008,"40033170009,40033170010,40141710007,40033170007,40033170011,40033170003,40033170005"
40033170009,"40033170008,40033170007,40033170004,40033170003"
40033170010,"40033170008,40033170011,40141710007"
40033170011,"40033170010,40033170005,40033170008"
40035180140,"40115580014,40115580009,40035180410,40035180320,40115580007"
40035180320,"40035180910,40035180621,40105530103,40035180520,40035180140,40105530304,40035180410,40105530301"
40035180410,"40035180910,40115580034,40035180140,40035180710,40035180320,40115580007"
40035180520,"40035180810,40131660023,40035180622,40035180621,40105530103,40035180320,40035180710"
40035180611,"40035180621,40035180910,40035180710,40035180612"
40035180612,"40035180621,40035180910,40035180611"
40035180621,"40035180910,40035180612,40035180611,40035180622,40035180710,40035180320,40035180520"
40035180622,"40035180621,40035180710,40035180520"
40035180710,"40035180810,40035180910,40035180621,40035180820,40041210002,40035180520,40035180611,40041210001,40115580034,40035180410,40035180622"
40035180810,"40131660023,40035180710,40035180820,40097490130,40035180520,40097490012"
40035180820,"40035180810,40041210001,40097490031,40097490130,40035180710"
40035180910,"40035180612,40035180611,40035180621,40035180710,40035180410,40035180320"
40037190111,"40037190132,40037190414,40037190417,40037190112,40037190415"
40037190112,"40037190143,40037190132,40037190131,40037190417,40037190111,40037190142"
40037190121,"40037190421,40037190401,40143720856,40037190419,40037190402,40143720802"
40037190122,"40037190131,40037190402,40037190143,40037190132"
40037190131,"40037190122,40037190112,40037190143,40037190132"
40037190132,"40037190111,40037190112,40037190414,40037190122,40037190131,40037190402"
40037190142,"40037190143,40037190419,40037190112,40037190417,40037190402,40037190418"
40037190143,"40037190112,40037190122,40037190131,40037190402,40037190142"
40037190211,"40037190241,40037190221,40037190231,40037190413"
40037190221,"40037190231,40037190211,40037190413"
40037190231,"40037190412,40037190241,40037190211,40037190409,40037190414,40037190221,40037190413"
40037190241,"40037190231,40037190409,40037190211,40037190413"
40037190311,"40037190405,40119600104,40037190407,40119600201,40037190408,40037190406"
40037190401,"40037190403,40143720880,40037190121,40037190402,40143720855,40143720881"
40037190402,"40037190403,40037190143,40037190122,40037190121,40037190401,40037190419,40037190132,40037190414,40037190422,40037190142"
40037190403,"40037190405,40037190409,40037190402,40037190408,40143720880,40037190401,40037190407,40037190404,40037190422"
40037190404,"40037190403,40143720880,40117590309,40117590314,40037190405,40117590307"
40037190405,"40037190403,40117590314,40037190407,40037190311,40037190404,40037190406"
40037190406,"40117590314,40037190405,40037190311,40117590112,40119600201"
40037190407,"40037190403,40037190405,40037190408,40037190311"
40037190408,"40037190403,40119600104,40037190410,40037190311,40037190409,40037190407,40081410002,40081410004,40037190411"
